Fecha,Inflacion,Subyacente,Mercancias,Servicios,No_subyacente,Agropecuarios,Energeticos
1990/01,22.48,22.23,0,0,23.24,0,0
1990/02,23.57,22.02,0,0,28.63,0,0
1990/03,24.4,22.21,0,0,31.65,0,0
1990/04,24.43,23.11,0,0,28.76,0,0
1990/05,24.89,24.66,0,0,25.64,0,0
1990/06,26.11,26.6,0,0,24.52,0,0
1990/07,27.13,27.97,0,0,24.48,0,0
1990/08,28.08,28.78,0,0,25.85,0,0
1990/09,28.68,28.91,0,0,27.9,0,0
1990/10,28.62,28.69,0,0,28.39,0,0
1990/11,30.21,29.46,0,0,32.72,0,0
1990/12,29.93,29.37,0,0,31.76,0,0
1991/01,27.11,27.89,0,0,24.64,0,0
1991/02,26.46,28.02,0,0,21.65,0,0
1991/03,26.04,27.97,0,0,20.14,0,0
1991/04,25.45,26.88,0,0,21.01,0,0
1991/05,24.51,25.19,0,0,22.32,0,0
1991/06,23.1,23.28,0,0,22.53,0,0
1991/07,21.97,21.94,0,0,22.07,0,0
1991/08,20.76,20.87,0,0,20.4,0,0
1991/09,20.25,20.58,0,0,19.15,0,0
1991/10,19.92,20.31,0,0,18.62,0,0
1991/11,19.72,18.89,0,0,22.43,0,0
1991/12,18.79,17.65,0,0,22.47,0,0
1992/01,17.95,16.71,0,0,21.94,0,0
1992/02,17.3,15.75,0,0,22.33,0,0
1992/03,16.82,15.09,0,0,22.5,0,0
1992/04,16.64,14.9,0,0,22.35,0,0
1992/05,16.28,15.2,0,0,19.79,0,0
1992/06,15.85,15.26,0,0,17.77,0,0
1992/07,15.56,15.18,0,0,16.8,0,0
1992/08,15.46,15.13,0,0,16.57,0,0
1992/09,15.32,14.82,0,0,17.01,0,0
1992/10,14.82,14.01,0,0,17.55,0,0
1992/11,12.96,13.74,0,0,10.5,0,0
1992/12,11.94,12.86,0,0,9.09,0,0
1993/01,11.32,12.21,0,0,8.57,0,0
1993/02,10.91,12.23,0,0,6.86,0,0
1993/03,10.44,12.35,0,0,4.57,0,0
1993/04,10.09,12.06,0,0,4.06,0,0
1993/05,10,11.2,0,0,6.21,0,0
1993/06,9.87,10.58,0,0,7.61,0,0
1993/07,9.7,10.14,0,0,8.32,0,0
1993/08,9.62,9.89,0,0,8.75,0,0
1993/09,9.48,9.54,0,0,9.28,0,0
1993/10,9.14,9.46,0,0,8.1,0,0
1993/11,8.72,9.08,0,0,7.55,0,0
1993/12,8.01,8.42,0,0,6.71,0,0
1994/01,7.5,7.77,0,0,6.62,0,0
1994/02,7.18,7.48,0,0,6.19,0,0
1994/03,7.1,7.18,0,0,6.84,0,0
1994/04,7.01,7.14,0,0,6.57,0,0
1994/05,6.92,7.28,0,0,5.72,0,0
1994/06,6.85,7.38,0,0,5.12,0,0
1994/07,6.81,7.31,0,0,5.18,0,0
1994/08,6.74,7.16,0,0,5.35,0,0
1994/09,6.71,7.18,0,0,5.16,0,0
1994/10,6.83,7.09,0,0,5.98,0,0
1994/11,6.93,7.25,0,0,5.87,0,0
1994/12,7.05,7.68,0,0,5,0,0
1995/01,10.23,10.93,0,0,7.94,0,0
1995/02,14.31,15.04,0,0,11.93,0,0
1995/03,20.43,19.6,0,0,22.46,0,0
1995/04,29.39,27.86,0,0,33.55,0,0
1995/05,34.15,33.41,0,0,35.99,0,0
